,germplasmDbId,germplasmName,entryNumber,check
1,800018550,geno_01,1,0
2,500263903,geno_02,2,1
3,600087345,geno_03,3,0
4,800018551,geno_04,4,0
5,800018552,geno_05,5,0
6,800018553,geno_06,6,0
7,800018549,geno_07,7,0
8,600103730,geno_08,8,0
9,800018554,geno_09,9,0
10,800018555,geno_10,10,0
11,800018526,geno_11,11,1
12,800018556,geno_12,12,0
13,800018557,geno_13,13,0
14,600108087,geno_14,14,0
15,600108182,geno_15,15,0
16,800027363,geno_16,16,1
17,800018558,geno_17,17,0
18,800018559,geno_18,18,0
19,600108185,geno_19,19,0
20,500263991,geno_20,20,1
21,800018560,geno_21,21,0
22,800034660,geno_22,22,0
23,800018562,geno_23,23,0
