"row","col","TRIAL_INSTANCE","trial","gen","block","ibk","resp","id","check","scres"
1,1,9,"loc_01","geno_01",1,1,1275,1,0,-0.730549781713059
1,2,9,"loc_01","geno_02",1,1,1295,2,1,-0.661956894296885
1,3,9,"loc_01","geno_03",1,1,1620,3,0,0.638344965949357
1,4,9,"loc_01","geno_04",1,1,1663,4,0,1.21572258762182
1,5,9,"loc_01","geno_05",1,2,1015,5,0,-2.16877097963532
1,6,9,"loc_01","geno_06",1,2,1450,6,0,0.209144309069099
1,7,9,"loc_01","geno_07",1,2,1465,7,0,0.194974102065258
1,8,9,"loc_01","geno_08",1,2,1943,8,0,2.60670606148817
1,9,9,"loc_01","geno_09",1,3,1285,9,0,-0.139304585133009
1,10,9,"loc_01","geno_10",1,3,950,10,0,-1.64390771495907
1,11,9,"loc_01","geno_11",1,3,1283,11,1,0.289933502250161
1,12,9,"loc_01","geno_12",1,3,1168,12,0,-0.368564977587179
2,1,9,"loc_01","geno_13",1,4,1380,13,0,-0.0315081758529493
2,2,9,"loc_01","geno_14",1,4,1413,14,0,0.177082019041695
2,3,9,"loc_01","geno_15",1,4,1273,15,0,-0.672291598946998
2,4,9,"loc_01","geno_16",1,4,1273,16,1,-0.0480654110637853
2,5,9,"loc_01","geno_17",1,5,1525,17,0,0.622621856828593
2,6,9,"loc_01","geno_18",1,5,1078,18,0,-1.61567673616846
2,7,9,"loc_01","geno_19",1,5,1575,19,0,0.907400696722485
2,8,9,"loc_01","geno_20",1,5,1553,20,1,1.09474323722102
2,9,9,"loc_01","geno_21",1,6,1643,21,0,1.60740647444651
2,10,9,"loc_01","geno_22",1,6,1225,22,0,-0.323150858295417
2,11,9,"loc_01","geno_23",1,6,910,23,0,-1.31697739115067
3,1,9,"loc_01","geno_17",2,1,1648,24,0,0.492936496676783
3,2,9,"loc_01","geno_12",2,1,1740,25,0,1.26285468703976
3,3,9,"loc_01","geno_22",2,1,1330,26,0,-1.16724173492396
3,4,9,"loc_01","geno_05",2,1,1800,27,0,1.76023581677888
3,5,9,"loc_01","geno_10",2,2,1515,28,0,0.320713872597653
