"","Environment","Type","nRep","nTotalEntries","nCheckEntries","nTestEntries","nonNA_nVar","nonNA_obs","nonNA_AvRep","grandMean","checksMean","newLinesMean","sel_model","heritVC","heritPEV","genotypicVar","residualVar","CV","Trait","NumMissing","LSD","Variance","SD","Min","Max","Range","Median","LowerQuartile","UpperQuartile","MeanRep","MinRep","MaxRep","WaldStatistic","WaldDF","Pvalue"
"1","loc_01","ALPHA",2,23,4,19,23,46,2,1370.36956521739,1295,1386.23684210526,30,0.0968672480900223,0.58559884276074,4990.01385023837,45861.807601128,15.337011844863,"GY_Calc_kgha",0,177.419609147631,53633.6603864734,231.589422009023,910,1943,1033,1305,1219.75,1522.5,1370.36956521739,1359.13043478261,1381.60869565217,1.205,22,0.372173402343147
"2","loc_02","ALPHA",2,23,4,19,23,46,2,3318.47826086957,2681.25,3452.63157894737,17,0.262717065163736,0.800139739238579,362315.581810974,1016793.84085331,29.7176514112796,"GY_Calc_kgha",0,1018.21595701701,2080373.1884058,1442.34988418407,900,6400,5500,3200,2200,4200,3318.47826086957,2402.17391304348,4234.78260869565,2.926,22,0.0137997960689213
"3","loc_03","ALPHA",2,23,4,19,23,46,2,1553.5652173913,1079.625,1653.34210526316,32,0.530699065053513,0.906070070854275,99365.2068152706,85583.7709998649,19.809877989312,"GY_Calc_kgha",0,339.461667837769,175983.895652174,419.504345212507,799,2355,1556,1640,1203.75,1883.75,1553.5652173913,1546.95652173913,1560.17391304348,13.23,22,2.18921320387366e-05
"4","loc_04","ALPHA",2,23,4,19,23,46,2,8047.91304347826,8013.25,8055.21052631579,18,0.206102588419731,0.691144851683726,424393.925387225,1634743.90705323,15.895543280973,"GY_Calc_kgha",0,1399.11196655471,1969703.32560386,1403.46119490489,5687,10440,4753,8280,6676,9331.75,8047.91304347826,7695.30434782609,8400.52173913043,1.676,22,0.146430798165805
"5","loc_05","ALPHA",2,23,4,19,23,46,2,2203.28260869565,2142.75,2216.02631578947,17,0.74267759261578,0.942216321986372,137620.745264617,5283.37748875529,3.28630080462431,"GY_Calc_kgha",0,288.058919127219,268792.829468599,518.452340595159,968,3258,2290,2266,1867.75,2502.75,2203.28260869565,2193.21739130435,2213.34782608696,245.2,22,2.22044604925031e-16
"6","loc_06","ALPHA",2,23,4,19,23,46,2,4598.15217391304,4541.5,4610.07894736842,27,0.00661716795512994,0.511299501434514,3309.52721968156,496832.745454043,15.3790480611962,"GY_Calc_kgha",0,158.381315237673,430839.065217391,656.383321861084,3167,5833,2666,4500,4167,5125.25,4598.15217391304,4585.47826086957,4610.82608695652,0.9586,22,0.547040757056708
"7","loc_07","ALPHA",2,23,4,19,23,46,2,7284.60869565217,6336.75,7484.15789473684,16,0.781844708393537,0.914278061641753,777033.936279727,216812.808626929,6.45877150213691,"GY_Calc_kgha",0,893.696970499015,1134079.66570048,1064.93176574862,5139,9560,4421,7384,6330.75,7974.5,7284.60869565217,7153.73913043478,7415.47826086957,7.822,22,0.00021489239791439
"8","loc_08","ALPHA",2,23,4,19,23,46,2,7834.82608695652,7872.875,7826.81578947368,1,0.364942385379214,0.814295885989982,295211.067002293,236174.460050065,6.18978508744398,"GY_Calc_kgha",0,881.821163269978,761004.724637681,872.355847482941,6089,9717,3628,7775,7172.75,8430,7834.82608695652,7664.4347826087,8005.21739130435,3.105,22,0.00769954473308476
"9","loc_09","ALPHA",2,23,4,19,23,46,2,990.869565217391,1088.75,970.263157894737,12,0.809505857880402,0.93314384461437,9437.30867724613,1631.14211734141,4.07950010863801,"GY_Calc_kgha",0,82.7052271685795,11781.4492753623,108.542384695391,720,1210,490,990,910,1090,990.869565217391,987.391304347826,994.347826086957,10.04,22,6.01914235009993e-06
"10","loc_10","ALPHA",2,23,4,19,23,46,2,2056.41304347826,2063.625,2054.89473684211,1,0.297097594375696,0.79712680274125,121673.237687254,112031.803440036,16.3237271375746,"GY_Calc_kgha",0,595.026427972442,403688.336714976,635.364727314143,1217,3317,2100,1933.5,1562.25,2423,2056.41304347826,1963.47826086957,2149.34782608696,2.826,22,0.0128390256961226
"11","loc_11","ALPHA",2,23,4,19,23,46,2,1441.02173913043,1578.375,1412.10526315789,27,0.357501796832401,0.78179341110888,27468.1579912565,49365.4330035094,15.2537649353308,"GY_Calc_kgha",0,294.426625463877,81627.177294686,285.704702962142,898,2096,1198,1490,1285.75,1648.5,1441.02173913043,1422.82608695652,1459.21739130435,2.544,22,0.0335911044918359
"12","loc_12","ALPHA",2,23,4,19,23,46,2,2016.89130434783,1737.875,2075.63157894737,32,0.305792098588716,0.821900284535138,77185.5870451762,150466.60664993,19.1919452045332,"GY_Calc_kgha",0,440.320760909828,191795.254589372,437.944351018907,1224,3342,2118,2003,1731,2204.25,2016.89130434783,1912,2121.78260869565,3.5,22,0.0143328215366161
"13","loc_13","ALPHA",2,23,4,19,23,46,2,5876.28260869565,5167.5,6025.5,32,0.445268898024206,0.823698816712111,254435.684050009,154066.927210005,6.64463897205996,"GY_Calc_kgha",0,800.051742087854,547291.229468599,739.791341844847,3887,7769,3882,5881,5553.75,6280,5876.28260869565,5857.39130434783,5895.17391304348,4.177,22,0.00678574213782468
"14","loc_14","ALPHA",2,23,4,19,23,46,2,3442.39130434783,3606.25,3407.89473684211,13,0.274887738279872,0.736112633622623,201895.424431568,224821.538238289,13.7470665839354,"GY_Calc_kgha",0,886.22202267998,696807.665700483,834.750061815202,2033,5583,3550,3387.5,2864.5,3925,3442.39130434783,3383.91304347826,3500.86956521739,2.034,22,0.0746733320997046
"15","loc_15","ALPHA",2,23,4,19,23,46,2,2721.80434782609,2527.5,2762.71052631579,30,0.0372730966826538,0.559808455605459,19806.870403024,511591.290325866,26.2132543701319,"GY_Calc_kgha",0,365.192689584344,531687.449758454,729.169013163926,1400,4580,3180,2721.5,2325,3080,2721.80434782609,2706.34782608696,2737.26086956522,0.9635,22,0.546527838564895
"16","loc_16","ALPHA",2,23,4,19,23,46,2,9731.34782608696,9372,9807,17,0.440048917285018,0.816611064906682,491540.332964034,625472.311927096,8.1547498697398,"GY_Calc_kgha",0,1129.92204030828,1106681.38743961,1051.98925253047,6524,11381,4857,9940.5,9012,10446.5,9731.34782608696,9621.17391304348,9841.52173913043,3.126,22,0.00988349914767872
"17","loc_17","ALPHA",2,23,4,19,23,46,2,3400.19565217391,3523.125,3374.31578947368,29,0.789315620618102,0.949545387093458,192890.528385228,51486.3416367881,6.65218908311474,"GY_Calc_kgha",0,299.478488676719,209236.60531401,457.423879256439,2552,4336,1784,3401,3134.25,3722.5,3400.19565217391,3357.39130434783,3443,20.74,22,3.09598411685208e-07
"18","loc_18","ALPHA",2,23,4,19,23,46,2,2774.76086956522,2527,2826.92105263158,18,0.839119601884347,0.948081976665117,287839.710779689,55186.1062289094,8.50552921781827,"GY_Calc_kgha",0,373.60893293795,326895.030434783,571.747348428292,1667,3900,2233,2750,2383.25,3081.25,2774.76086956522,2725.4347826087,2824.08695652174,21.12,22,4.89225214783673e-08
